corpus,feature,modele_1,modele_2,pearson_r,p_value,n
SMS,profondeur_arbre_max,gsd,fsmb,0.8697,1.4320274234450353e-308,1001
SMS,profondeur_arbre_max,gsd,sequoia,0.9152,0.0,1001
SMS,profondeur_arbre_max,gsd,rhapsodie,0.8658,1.0782340991234965e-302,1001
SMS,profondeur_arbre_max,gsd,zenodo-spoken,0.8812,0.0,1001
SMS,profondeur_arbre_max,gsd,stanza,0.877,2.747e-320,1001
SMS,profondeur_arbre_max,fsmb,sequoia,0.8655,3.290286537408167e-302,1001
SMS,profondeur_arbre_max,fsmb,rhapsodie,0.8173,1.8190811891987953e-241,1001
SMS,profondeur_arbre_max,fsmb,zenodo-spoken,0.841,1.0212683159010597e-268,1001
SMS,profondeur_arbre_max,fsmb,stanza,0.831,1.167595086613608e-256,1001
SMS,profondeur_arbre_max,sequoia,rhapsodie,0.8626,6.653393399452276e-298,1001
SMS,profondeur_arbre_max,sequoia,zenodo-spoken,0.8729,1.2807878204e-313,1001
SMS,profondeur_arbre_max,sequoia,stanza,0.859,9.289237975656874e-293,1001
SMS,profondeur_arbre_max,rhapsodie,zenodo-spoken,0.8891,0.0,1001
SMS,profondeur_arbre_max,rhapsodie,stanza,0.8295,6.520310652500638e-255,1001
SMS,profondeur_arbre_max,zenodo-spoken,stanza,0.8541,6.050813355747196e-286,1001
SMS,profondeur_arbre_moy,gsd,fsmb,0.8787,5e-323,1001
SMS,profondeur_arbre_moy,gsd,sequoia,0.9111,0.0,1001
SMS,profondeur_arbre_moy,gsd,rhapsodie,0.8629,2.3672004048849113e-298,1001
SMS,profondeur_arbre_moy,gsd,zenodo-spoken,0.885,0.0,1001
SMS,profondeur_arbre_moy,gsd,stanza,0.8355,4.722510698195662e-262,1001
SMS,profondeur_arbre_moy,fsmb,sequoia,0.8727,2.63194795263e-313,1001
SMS,profondeur_arbre_moy,fsmb,rhapsodie,0.8236,3.0401661490033836e-248,1001
SMS,profondeur_arbre_moy,fsmb,zenodo-spoken,0.858,2.755149850815453e-291,1001
SMS,profondeur_arbre_moy,fsmb,stanza,0.7987,1.380741836046827e-222,1001
SMS,profondeur_arbre_moy,sequoia,rhapsodie,0.8583,1.011486520222447e-291,1001
SMS,profondeur_arbre_moy,sequoia,zenodo-spoken,0.8775,3.636e-321,1001
SMS,profondeur_arbre_moy,sequoia,stanza,0.8187,6.992824859869248e-243,1001
SMS,profondeur_arbre_moy,rhapsodie,zenodo-spoken,0.8854,0.0,1001
SMS,profondeur_arbre_moy,rhapsodie,stanza,0.7736,3.4796114537849415e-200,1001
SMS,profondeur_arbre_moy,zenodo-spoken,stanza,0.8045,2.7267880818220396e-228,1001
SMS,distance_dependance_max,gsd,fsmb,0.956,0.0,1001
SMS,distance_dependance_max,gsd,sequoia,0.9545,0.0,1001
SMS,distance_dependance_max,gsd,rhapsodie,0.9381,0.0,1001
SMS,distance_dependance_max,gsd,zenodo-spoken,0.9536,0.0,1001
SMS,distance_dependance_max,gsd,stanza,0.895,0.0,1001
SMS,distance_dependance_max,fsmb,sequoia,0.9612,0.0,1001
SMS,distance_dependance_max,fsmb,rhapsodie,0.9044,0.0,1001
SMS,distance_dependance_max,fsmb,zenodo-spoken,0.9501,0.0,1001
SMS,distance_dependance_max,fsmb,stanza,0.8975,0.0,1001
SMS,distance_dependance_max,sequoia,rhapsodie,0.9195,0.0,1001
SMS,distance_dependance_max,sequoia,zenodo-spoken,0.9584,0.0,1001
SMS,distance_dependance_max,sequoia,stanza,0.9004,0.0,1001
SMS,distance_dependance_max,rhapsodie,zenodo-spoken,0.9328,0.0,1001
SMS,distance_dependance_max,rhapsodie,stanza,0.8925,0.0,1001
SMS,distance_dependance_max,zenodo-spoken,stanza,0.8977,0.0,1001
SMS,distance_dependance_moy,gsd,fsmb,0.8185,1.0518367420587257e-242,1001
SMS,distance_dependance_moy,gsd,sequoia,0.9059,0.0,1001
SMS,distance_dependance_moy,gsd,rhapsodie,0.8594,2.9003117825549936e-293,1001
SMS,distance_dependance_moy,gsd,zenodo-spoken,0.8915,0.0,1001
SMS,distance_dependance_moy,gsd,stanza,0.8297,3.0515445086585033e-255,1001
SMS,distance_dependance_moy,fsmb,sequoia,0.8713,4.2321241470717e-311,1001
SMS,distance_dependance_moy,fsmb,rhapsodie,0.7703,1.9185806145847282e-197,1001
SMS,distance_dependance_moy,fsmb,zenodo-spoken,0.7986,1.6498385447698438e-222,1001
SMS,distance_dependance_moy,fsmb,stanza,0.7541,1.2128076399173338e-184,1001
SMS,distance_dependance_moy,sequoia,rhapsodie,0.8541,7.178941179389958e-286,1001
SMS,distance_dependance_moy,sequoia,zenodo-spoken,0.885,0.0,1001
SMS,distance_dependance_moy,sequoia,stanza,0.8171,3.300516927903297e-241,1001
SMS,distance_dependance_moy,rhapsodie,zenodo-spoken,0.9102,0.0,1001
SMS,distance_dependance_moy,rhapsodie,stanza,0.8152,3.511213136611111e-239,1001
SMS,distance_dependance_moy,zenodo-spoken,stanza,0.838,4.6656004519546143e-265,1001
SMS,distance_dependance_var,gsd,fsmb,0.7279,6.960594710292873e-166,1001
SMS,distance_dependance_var,gsd,sequoia,0.8316,1.908681663635281e-257,1001
SMS,distance_dependance_var,gsd,rhapsodie,0.856,1.4725686335200207e-288,1001
SMS,distance_dependance_var,gsd,zenodo-spoken,0.8744,5.71527175e-316,1001
SMS,distance_dependance_var,gsd,stanza,0.7298,3.2718637744365448e-167,1001
SMS,distance_dependance_var,fsmb,sequoia,0.8872,0.0,1001
SMS,distance_dependance_var,fsmb,rhapsodie,0.6739,1.8248712821767052e-133,1001
SMS,distance_dependance_var,fsmb,zenodo-spoken,0.8239,1.4304712966817197e-248,1001
SMS,distance_dependance_var,fsmb,stanza,0.6832,1.3991822541414104e-138,1001
SMS,distance_dependance_var,sequoia,rhapsodie,0.7784,3.211034075869378e-204,1001
SMS,distance_dependance_var,sequoia,zenodo-spoken,0.9058,0.0,1001
SMS,distance_dependance_var,sequoia,stanza,0.7429,2.514759283480773e-176,1001
SMS,distance_dependance_var,rhapsodie,zenodo-spoken,0.8872,0.0,1001
SMS,distance_dependance_var,rhapsodie,stanza,0.7762,2.513099307565097e-202,1001
SMS,distance_dependance_var,zenodo-spoken,stanza,0.7927,5.399087519515227e-217,1001
SMS,nb_dependances_moy_phrase,gsd,fsmb,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,gsd,sequoia,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,gsd,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,gsd,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,gsd,stanza,0.902,0.0,1001
SMS,nb_dependances_moy_phrase,fsmb,sequoia,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,fsmb,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,fsmb,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,fsmb,stanza,0.902,0.0,1001
SMS,nb_dependances_moy_phrase,sequoia,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,sequoia,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,sequoia,stanza,0.902,0.0,1001
SMS,nb_dependances_moy_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_moy_phrase,rhapsodie,stanza,0.902,0.0,1001
SMS,nb_dependances_moy_phrase,zenodo-spoken,stanza,0.902,0.0,1001
SMS,nb_dependances_var_phrase,gsd,fsmb,1.0,0.0,1001
SMS,nb_dependances_var_phrase,gsd,sequoia,1.0,0.0,1001
SMS,nb_dependances_var_phrase,gsd,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_var_phrase,gsd,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_var_phrase,gsd,stanza,0.6047,7.675851793293416e-101,1001
SMS,nb_dependances_var_phrase,fsmb,sequoia,1.0,0.0,1001
SMS,nb_dependances_var_phrase,fsmb,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_var_phrase,fsmb,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_var_phrase,fsmb,stanza,0.6047,7.675851793293416e-101,1001
SMS,nb_dependances_var_phrase,sequoia,rhapsodie,1.0,0.0,1001
SMS,nb_dependances_var_phrase,sequoia,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_var_phrase,sequoia,stanza,0.6047,7.675851793293416e-101,1001
SMS,nb_dependances_var_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1001
SMS,nb_dependances_var_phrase,rhapsodie,stanza,0.6047,7.675851793293416e-101,1001
SMS,nb_dependances_var_phrase,zenodo-spoken,stanza,0.6047,7.675851793293416e-101,1001
SMS,nb_phrases,gsd,fsmb,1.0,0.0,1001
SMS,nb_phrases,gsd,sequoia,1.0,0.0,1001
SMS,nb_phrases,gsd,rhapsodie,1.0,0.0,1001
SMS,nb_phrases,gsd,zenodo-spoken,1.0,0.0,1001
SMS,nb_phrases,gsd,stanza,0.9495,0.0,1001
SMS,nb_phrases,fsmb,sequoia,1.0,0.0,1001
SMS,nb_phrases,fsmb,rhapsodie,1.0,0.0,1001
SMS,nb_phrases,fsmb,zenodo-spoken,1.0,0.0,1001
SMS,nb_phrases,fsmb,stanza,0.9495,0.0,1001
SMS,nb_phrases,sequoia,rhapsodie,1.0,0.0,1001
SMS,nb_phrases,sequoia,zenodo-spoken,1.0,0.0,1001
SMS,nb_phrases,sequoia,stanza,0.9495,0.0,1001
SMS,nb_phrases,rhapsodie,zenodo-spoken,1.0,0.0,1001
SMS,nb_phrases,rhapsodie,stanza,0.9495,0.0,1001
SMS,nb_phrases,zenodo-spoken,stanza,0.9495,0.0,1001
SMS,nb_tokens,gsd,fsmb,1.0,0.0,1001
SMS,nb_tokens,gsd,sequoia,1.0,0.0,1001
SMS,nb_tokens,gsd,rhapsodie,1.0,0.0,1001
SMS,nb_tokens,gsd,zenodo-spoken,1.0,0.0,1001
SMS,nb_tokens,gsd,stanza,0.9953,0.0,1001
SMS,nb_tokens,fsmb,sequoia,1.0,0.0,1001
SMS,nb_tokens,fsmb,rhapsodie,1.0,0.0,1001
SMS,nb_tokens,fsmb,zenodo-spoken,1.0,0.0,1001
SMS,nb_tokens,fsmb,stanza,0.9953,0.0,1001
SMS,nb_tokens,sequoia,rhapsodie,1.0,0.0,1001
SMS,nb_tokens,sequoia,zenodo-spoken,1.0,0.0,1001
SMS,nb_tokens,sequoia,stanza,0.9953,0.0,1001
SMS,nb_tokens,rhapsodie,zenodo-spoken,1.0,0.0,1001
SMS,nb_tokens,rhapsodie,stanza,0.9953,0.0,1001
SMS,nb_tokens,zenodo-spoken,stanza,0.9953,0.0,1001
Transcodage_1,profondeur_arbre_max,gsd,fsmb,0.8554,1.2638463758903709e-287,1001
Transcodage_1,profondeur_arbre_max,gsd,sequoia,0.9112,0.0,1001
Transcodage_1,profondeur_arbre_max,gsd,rhapsodie,0.8592,5.413570732845038e-293,1001
Transcodage_1,profondeur_arbre_max,gsd,zenodo-spoken,0.8766,1.1157e-319,1001
Transcodage_1,profondeur_arbre_max,gsd,stanza,0.8952,0.0,1001
Transcodage_1,profondeur_arbre_max,fsmb,sequoia,0.8639,8.058922237884118e-300,1001
Transcodage_1,profondeur_arbre_max,fsmb,rhapsodie,0.8022,5.083389686792904e-226,1001
Transcodage_1,profondeur_arbre_max,fsmb,zenodo-spoken,0.8403,6.489390837324531e-268,1001
Transcodage_1,profondeur_arbre_max,fsmb,stanza,0.8514,3.687708228637554e-282,1001
Transcodage_1,profondeur_arbre_max,sequoia,rhapsodie,0.8622,2.327948908979552e-297,1001
Transcodage_1,profondeur_arbre_max,sequoia,zenodo-spoken,0.8792,1e-323,1001
Transcodage_1,profondeur_arbre_max,sequoia,stanza,0.8969,0.0,1001
Transcodage_1,profondeur_arbre_max,rhapsodie,zenodo-spoken,0.8943,0.0,1001
Transcodage_1,profondeur_arbre_max,rhapsodie,stanza,0.8445,4.038867034411016e-273,1001
Transcodage_1,profondeur_arbre_max,zenodo-spoken,stanza,0.8636,1.9646050846621434e-299,1001
Transcodage_1,profondeur_arbre_moy,gsd,fsmb,0.8627,5.365895209642649e-298,1001
Transcodage_1,profondeur_arbre_moy,gsd,sequoia,0.9136,0.0,1001
Transcodage_1,profondeur_arbre_moy,gsd,rhapsodie,0.8542,4.9970305446164685e-286,1001
Transcodage_1,profondeur_arbre_moy,gsd,zenodo-spoken,0.8797,0.0,1001
Transcodage_1,profondeur_arbre_moy,gsd,stanza,0.8476,3.864409122175653e-277,1001
Transcodage_1,profondeur_arbre_moy,fsmb,sequoia,0.8698,1.0414340154296675e-308,1001
Transcodage_1,profondeur_arbre_moy,fsmb,rhapsodie,0.802,9.004871770877891e-226,1001
Transcodage_1,profondeur_arbre_moy,fsmb,zenodo-spoken,0.8483,3.733817879943212e-278,1001
Transcodage_1,profondeur_arbre_moy,fsmb,stanza,0.8298,2.3831206085028914e-255,1001
Transcodage_1,profondeur_arbre_moy,sequoia,rhapsodie,0.8577,7.665078784898433e-291,1001
Transcodage_1,profondeur_arbre_moy,sequoia,zenodo-spoken,0.8811,0.0,1001
Transcodage_1,profondeur_arbre_moy,sequoia,stanza,0.8471,1.5465077552171573e-276,1001
Transcodage_1,profondeur_arbre_moy,rhapsodie,zenodo-spoken,0.892,0.0,1001
Transcodage_1,profondeur_arbre_moy,rhapsodie,stanza,0.7907,4.076943136983612e-215,1001
Transcodage_1,profondeur_arbre_moy,zenodo-spoken,stanza,0.8225,4.228013703522491e-247,1001
Transcodage_1,distance_dependance_max,gsd,fsmb,0.9438,0.0,1001
Transcodage_1,distance_dependance_max,gsd,sequoia,0.9441,0.0,1001
Transcodage_1,distance_dependance_max,gsd,rhapsodie,0.9429,0.0,1001
Transcodage_1,distance_dependance_max,gsd,zenodo-spoken,0.9499,0.0,1001
Transcodage_1,distance_dependance_max,gsd,stanza,0.9165,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,sequoia,0.9619,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,rhapsodie,0.925,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,zenodo-spoken,0.9469,0.0,1001
Transcodage_1,distance_dependance_max,fsmb,stanza,0.9275,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,rhapsodie,0.935,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,zenodo-spoken,0.9543,0.0,1001
Transcodage_1,distance_dependance_max,sequoia,stanza,0.9309,0.0,1001
Transcodage_1,distance_dependance_max,rhapsodie,zenodo-spoken,0.9434,0.0,1001
Transcodage_1,distance_dependance_max,rhapsodie,stanza,0.9103,0.0,1001
Transcodage_1,distance_dependance_max,zenodo-spoken,stanza,0.9317,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,fsmb,0.823,1.4605717068205948e-247,1001
Transcodage_1,distance_dependance_moy,gsd,sequoia,0.9134,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,rhapsodie,0.8565,3.1464667418104866e-289,1001
Transcodage_1,distance_dependance_moy,gsd,zenodo-spoken,0.8893,0.0,1001
Transcodage_1,distance_dependance_moy,gsd,stanza,0.8487,1.3341871760516241e-278,1001
Transcodage_1,distance_dependance_moy,fsmb,sequoia,0.8694,3.3439423387309024e-308,1001
Transcodage_1,distance_dependance_moy,fsmb,rhapsodie,0.7779,8.494589970788508e-204,1001
Transcodage_1,distance_dependance_moy,fsmb,zenodo-spoken,0.8094,3.343988305797073e-233,1001
Transcodage_1,distance_dependance_moy,fsmb,stanza,0.7889,1.969147292910844e-213,1001
Transcodage_1,distance_dependance_moy,sequoia,rhapsodie,0.8573,2.4376919498869052e-290,1001
Transcodage_1,distance_dependance_moy,sequoia,zenodo-spoken,0.8834,0.0,1001
Transcodage_1,distance_dependance_moy,sequoia,stanza,0.8435,6.770605271377988e-272,1001
Transcodage_1,distance_dependance_moy,rhapsodie,zenodo-spoken,0.916,0.0,1001
Transcodage_1,distance_dependance_moy,rhapsodie,stanza,0.8289,2.8119953985751765e-254,1001
Transcodage_1,distance_dependance_moy,zenodo-spoken,stanza,0.8567,1.6143201346624164e-289,1001
Transcodage_1,distance_dependance_var,gsd,fsmb,0.8212,1.2154840381043015e-245,1001
Transcodage_1,distance_dependance_var,gsd,sequoia,0.8857,0.0,1001
Transcodage_1,distance_dependance_var,gsd,rhapsodie,0.8628,3.8077764650413803e-298,1001
Transcodage_1,distance_dependance_var,gsd,zenodo-spoken,0.8805,0.0,1001
Transcodage_1,distance_dependance_var,gsd,stanza,0.8205,7.270787346703435e-245,1001
Transcodage_1,distance_dependance_var,fsmb,sequoia,0.8672,1.0550487910496508e-304,1001
Transcodage_1,distance_dependance_var,fsmb,rhapsodie,0.8131,5.51477226690594e-237,1001
Transcodage_1,distance_dependance_var,fsmb,zenodo-spoken,0.8295,5.48262790568305e-255,1001
Transcodage_1,distance_dependance_var,fsmb,stanza,0.8395,7.04873052477806e-267,1001
